Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2021","2021","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2022","2022","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2023","2023","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2010","2010","1000 ha","4312","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2011","2011","1000 ha","4710","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2012","2012","1000 ha","4336","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2013","2013","1000 ha","4294","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2014","2014","1000 ha","4286","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","4410","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2016","2016","1000 ha","4310","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2017","2017","1000 ha","4827","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2018","2018","1000 ha","5494","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2019","2019","1000 ha","4450","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","3995","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2021","2021","1000 ha","4922","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2022","2022","1000 ha","4897","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2023","2023","1000 ha","4727","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2010","2010","1000 ha","124","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2010","2010","%","0.33","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2011","2011","1000 ha","124","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2011","2011","%","0.33","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2012","2012","1000 ha","124","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2012","2012","%","0.33","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2013","2013","1000 ha","125","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2013","2013","%","0.33","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2014","2014","1000 ha","139","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2014","2014","%","0.37","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2015","2015","1000 ha","145","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2015","2015","%","0.38","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2016","2016","1000 ha","181","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2016","2016","%","0.48","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2017","2017","1000 ha","211","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2017","2017","%","0.56","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2018","2018","1000 ha","216","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2018","2018","%","0.57","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2019","2019","1000 ha","222","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2019","2019","%","0.58","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2020","2020","1000 ha","222","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2020","2020","%","0.58","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2021","2021","1000 ha","270","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2021","2021","%","0.7","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2022","2022","1000 ha","271","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2022","2022","%","0.71","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2023","2023","1000 ha","270","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6650","Permanent crops","2023","2023","%","0.71","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2010","2010","1000 ha","30000","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2010","2010","%","79.12","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6655","Permanent meadows and pastures","2010","2010","%","46","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2011","2011","1000 ha","30000","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2011","2011","%","79.12","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6655","Permanent meadows and pastures","2011","2011","%","46","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2012","2012","1000 ha","30000","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2012","2012","%","79.13","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6655","Permanent meadows and pastures","2012","2012","%","46","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2013","2013","1000 ha","30000","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2013","2013","%","79.13","A","Official figure",""
